iter	MultiRMSE
354	0.6724571643
355	0.6719121617
356	0.6715129451
357	0.6711748864
358	0.6707362046
359	0.6702614515
360	0.6697669521
361	0.6693308319
362	0.6691450216
363	0.6688929284
364	0.6684199216
365	0.6673470109
366	0.6667648278
367	0.6661652126
368	0.6657421051
369	0.6652455028
370	0.6647026744
371	0.6641619154
372	0.6636793558
373	0.6633235627
374	0.662775842
375	0.6621557283
376	0.6617441309
377	0.6610778193
378	0.6607500717
379	0.6603876626
380	0.6599902878
381	0.6597305231
382	0.6593981033
383	0.6588840523
384	0.6584257545
385	0.6578757819
386	0.6573730081
387	0.6562715462
388	0.6558611285
389	0.6555721551
390	0.6551320053
391	0.6545540342
392	0.6540580312
393	0.6536121884
394	0.6530308842
395	0.652503826
396	0.6519114769
397	0.6515225714
398	0.6511895937
399	0.6507180191
400	0.6504031676
401	0.6498666979
402	0.6496990842
403	0.6494056284
404	0.6490586641
405	0.6487125238
406	0.6480526453
407	0.6478045684
408	0.6474404096
409	0.6465564954
410	0.646286917
411	0.6459031797
412	0.645556266
413	0.6450928693
414	0.6447736681
415	0.6445003975
416	0.6440710783
417	0.6438652881
418	0.6434214408
419	0.6429193788
420	0.6424244323
421	0.6422320011
422	0.6418013063
423	0.6415933183
424	0.6411305558
425	0.6406356357
426	0.640241589
427	0.6398052681
428	0.6396065151
429	0.6391989854
430	0.638695456
431	0.6384768288
432	0.6379759296
433	0.6374815484
434	0.6373059967
435	0.637077636
436	0.6366896076
437	0.6364654266
438	0.6361960937
439	0.6357297358
440	0.6352832865
441	0.6350117419
442	0.6345684459
443	0.6341701661
444	0.6337256881
445	0.6335995259
446	0.6332005788
447	0.6328787247
448	0.6323686374
449	0.6317447923
450	0.63133975
451	0.6309383668
452	0.6306341631
453	0.6302830336
454	0.6298728289
455	0.6296967233
456	0.6293159936
457	0.6291479591
458	0.6287462196
459	0.6282911266
460	0.6277253696
461	0.627234952
462	0.6268259378
463	0.6266825504
464	0.6262571095
465	0.6259722431
466	0.625644512
467	0.6251929218
468	0.6247197638
469	0.624387988
470	0.6240054187
471	0.6236934842
472	0.6234102284
473	0.6229410545
474	0.62231685
475	0.6217624258
476	0.6214501914
477	0.6209609378
478	0.6198453955
479	0.6189699121
480	0.6186342449
481	0.6182342307
482	0.617842356
483	0.6175096516
484	0.6170610425
485	0.6166836748
486	0.6164733659
487	0.6159225657
488	0.6153587239
489	0.6150336277
490	0.6147701014
491	0.6143235021
492	0.6139625218
493	0.6137665066
494	0.6133497711
495	0.6131095534
496	0.6124127957
497	0.6120119954
498	0.6117577552
499	0.610884627
500	0.6105238828
501	0.6101589057
502	0.6098518198
503	0.6094562867
504	0.6081429201
505	0.6077651256
506	0.6075890574
507	0.6073763959
508	0.6071193717
509	0.6068366521
510	0.6065635888
511	0.606238082
512	0.6060260703
513	0.6049785386
514	0.6044322453
515	0.6041060666
516	0.603921678
517	0.6035735411
518	0.6033363878
519	0.6030936388
520	0.6028045171
521	0.6025520991
522	0.6022612757
523	0.6020115559
524	0.6016609119
525	0.6014587128
526	0.6007952822
527	0.6003587589
528	0.6000553755
529	0.599865387
530	0.5994185747
531	0.5990787941
532	0.5987961488
533	0.5986668504
534	0.5982571769
535	0.5978602735
536	0.5972564215
537	0.5968489464
538	0.5965171656
539	0.5962716546
540	0.5959229375
541	0.5956869906
542	0.5954303321
543	0.595206131
544	0.594885835
545	0.5945934867
546	0.5942643589
547	0.5938988483
548	0.5935717789
549	0.5933177585
550	0.5928440513
551	0.5923944982
552	0.5921337156
553	0.5918915465
554	0.5911469508
555	0.5908637563
556	0.5906259659
557	0.590096668
558	0.589659282
559	0.5889727093
560	0.5886211301
561	0.5883624179
562	0.5879787201
563	0.5876960191
564	0.5875318501
565	0.5872057758
566	0.5868791198
567	0.5866928631
568	0.5864016373
569	0.5860543061
570	0.5858013972
571	0.5855239896
572	0.585273834
573	0.5849449726
574	0.5845705959
575	0.584292122
576	0.5838602207
577	0.5835790772
578	0.5831628565
579	0.5829763805
580	0.5826926957
581	0.5822027321
582	0.5818875799
583	0.5816829875
584	0.5814431218
585	0.5811221887
586	0.5808455624
587	0.5805975262
588	0.5803573093
589	0.5801707775
590	0.5798492798
591	0.5796763333
592	0.5794251673
593	0.579047553
594	0.5787244097
595	0.5784936137
596	0.5781182278
597	0.5778020401
598	0.5775638133
599	0.5773874029
